repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,notes
apache/flink,7970,refactoring-inducing PR,https://github.com/apache/flink/pull/7970,859fcd1bcc97b40b3225053b935fd3ea4999548d,https://github.com/apache/flink/commit/859fcd1bcc97b40b3225053b935fd3ea4999548d,False,Change Attribute Type,checkpointStorage : CheckpointCoordinatorStorage to checkpointStorage : CheckpointStorageCoordinatorView in class org.apache.flink.runtime.checkpoint.CheckpointCoordinator,true,true,false,Refactoring applied to indirectly address a review comment 
apache/samza,1030,refactoring-inducing PR,https://github.com/apache/samza/pull/1030,71b21651670396f1cd833c93608eefd1ad7cc9f5,https://github.com/apache/samza/commit/71b21651670396f1cd833c93608eefd1ad7cc9f5,True,,,,,,PR comprises adaptive changes (adding a new feature) | No bot.
apache/samza,1030,refactoring-inducing PR,https://github.com/apache/samza/pull/1030,1519fc80ba6104104440727957c7a120db4d2626,https://github.com/apache/samza/commit/1519fc80ba6104104440727957c7a120db4d2626,False,Rename Variable,mocketOffsetToReturn : String to mockedOffsetToReturn : String in method public testStartpointResolverShouldResolveTheStartpointTimestampToCorrectOffset() : void in class org.apache.samza.system.eventhub.admin.TestEventHubSystemAdmin,true,false,false,"Refactoring to fix a typo | PR's author provided clarifications to reviewer's questions (concerning code logic, performance cost on some decisions)"
apache/kafka,5194,refactoring-inducing PR,https://github.com/apache/kafka/pull/5194,bf09e38f16a0efbe1dc194cb5e0c8914d9a94794,https://github.com/apache/kafka/commit/bf09e38f16a0efbe1dc194cb5e0c8914d9a94794,True,Move Class,org.apache.kafka.common.config.FileConfigProvider moved to org.apache.kafka.common.config.provider.FileConfigProvider,,,,PR comprises perfective changes (optimization) | PR's title self-declares a minor change | No bot.
apache/kafka,5194,refactoring-inducing PR,https://github.com/apache/kafka/pull/5194,3cf197acdd8f96eb184057402b6c89f9f4dbf6b5,https://github.com/apache/kafka/commit/3cf197acdd8f96eb184057402b6c89f9f4dbf6b5,False,Move Class,org.apache.kafka.common.config.ConfigProvider moved to org.apache.kafka.common.config.provider.ConfigProvider,true,true,false,This commit addresses a review comment (by refactoring) | Review comments directly suggest such refactorings.
apache/kafka,5194,refactoring-inducing PR,https://github.com/apache/kafka/pull/5194,3cf197acdd8f96eb184057402b6c89f9f4dbf6b5,https://github.com/apache/kafka/commit/3cf197acdd8f96eb184057402b6c89f9f4dbf6b5,False,Move Class,org.apache.kafka.common.config.FileConfigProviderTest moved to org.apache.kafka.common.config.provider.FileConfigProviderTest,true,true,false,No notes.
apache/kafka,5194,refactoring-inducing PR,https://github.com/apache/kafka/pull/5194,128b9a8ccdfa0694443642b242d9d752dec711c4,https://github.com/apache/kafka/commit/128b9a8ccdfa0694443642b242d9d752dec711c4,False,,,,,,
apache/kafka,5194,refactoring-inducing PR,https://github.com/apache/kafka/pull/5194,b324fba4db992215ffdbb1a4ca5e9fad139f3d29,https://github.com/apache/kafka/commit/b324fba4db992215ffdbb1a4ca5e9fad139f3d29,False,,,,,,
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,d5e062fb287ce8a4fa60a7aff367b95425889ac3,https://github.com/apache/flink/commit/d5e062fb287ce8a4fa60a7aff367b95425889ac3,True,Change Attribute Type,inView : ChannelReaderInputView to inView : AbstractChannelReaderInputView in class org.apache.flink.runtime.io.disk.ChannelReaderInputViewIterator,,,,PR comprises adaptive changes (adding a new feature) | A flinkbot does a checklist and suggests a PR review guide.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,d5e062fb287ce8a4fa60a7aff367b95425889ac3,https://github.com/apache/flink/commit/d5e062fb287ce8a4fa60a7aff367b95425889ac3,True,Change Parameter Type,"inView : ChannelReaderInputView to inView : AbstractChannelReaderInputView in method public ChannelReaderInputViewIterator(inView AbstractChannelReaderInputView, freeMemTarget List<MemorySegment>, accessors TypeSerializer<E>) in class org.apache.flink.runtime.io.disk.ChannelReaderInputViewIterator",,,,
