repo,number_merged_prs
apache/sling-org-apache-sling-servlets-annotations,2
apache/incubator-atlas,1
apache/maven-doxia-sitetools,1
apache/httpcomponents-client,41
apache/nutch,283
apache/incubator-gobblin,1562
apache/cayenne,295
apache/geronimo-jwt-auth,1
apache/maven-jlink-plugin,3
apache/sling-org-apache-sling-launchpad-base,4
apache/sqoop,12
apache/zeppelin,23
apache/netbeans,1168
apache/maven-invoker-plugin,6
apache/maven-help-plugin,1
apache/opennlp,156
apache/fineract-cn-demo-server,19
apache/openjpa,14
apache/ant-antlibs-antunit,1
apache/sling-org-apache-sling-jcr-contentparser,2
apache/sling-org-apache-sling-jcr-contentloader,1
apache/cassandra-sidecar,2
apache/oodt,50
apache/servicecomb-saga-actuator,1
apache/incubator-edgent-samples,6
apache/logging-log4j-audit,17
apache/sling-org-apache-sling-distribution-journal,7
apache/fineract-cn-provisioner,10
apache/netbeans-html4j,19
apache/incubator-myriad,29
apache/mina-vysper,9
apache/sling-org-apache-sling-caconfig-impl,1
apache/commons-crypto,14
apache/systemml,7
apache/sling-org-apache-sling-api,8
apache/tajo,15
apache/fineract-cn-lang,8
apache/netbeans-mavenutils-nbm-maven-plugin,1
apache/sling-org-apache-sling-commons-log,3
apache/commons-cli,6
apache/fineract-cn-crypto,6
apache/james-mime4j,8
apache/sling-org-apache-sling-event,2
apache/incubator-hudi,384
apache/maven-jmod-plugin,2
apache/sling-org-apache-sling-commons-html,4
apache/rocketmq-spring,32
apache/maven-toolchains-plugin,1
apache/incubator-datasketches-java,214
apache/karaf-cellar,40
apache/flink-playgrounds,1
apache/pulsar,3465
apache/airavata,134
apache/directory-scimple,18
apache/directory-fortress-core,8
apache/sling-org-apache-sling-scripting-sightly,3
apache/sling-org-apache-sling-serviceusermapper,1
apache/guacamole-client,380
apache/sling-org-apache-sling-connection-timeout-agent,1
apache/sling-ide-tooling,7
apache/incubator-tuweni,25
apache/commons-net,1
apache/brooklyn-docs,261
apache/incubator-pinot,3857
apache/dubbo-spring-boot-project,124
apache/maven-enforcer,2
apache/incubator-datasketches-vector,7
apache/commons-configuration,3
apache/sling-org-apache-sling-servlets-get,2
apache/fineract,376
apache/sling-org-apache-sling-feature-cpconverter,17
apache/fineract-cn-test,10
apache/wicket,115
apache/fineract-cn-identity,13
apache/sling-org-apache-sling-testing-clients,9
apache/jena,472
apache/sling-htl-maven-plugin,1
apache/maven-javadoc-plugin,13
apache/attic-polygene-java,3
apache/incubator-tamaya-sandbox,21
apache/fineract-cn-customer,13
apache/creadur-rat,1
apache/sling-org-apache-sling-xss,4
apache/incubator-edgent,324
apache/openwhisk-runtime-java,54
apache/servicecomb-pack,362
apache/sling-org-apache-sling-feature,10
apache/sling-org-apache-sling-installer-factory-configuration,4
apache/cxf-dosgi,4
apache/flume,9
apache/jclouds-examples,2
apache/sling-samples,1
apache/ambari-metrics,16
apache/db-jdo,6
apache/servicecomb-samples,15
apache/maven-scm-publish-plugin,2
apache/ant-easyant-core,2
apache/directory-fortress-realm,2
apache/activemq-artemis-native,2
apache/incubator-omid,8
apache/directory-ldap-api,6
apache/sling-org-apache-sling-installer-it,1
apache/maven-plugins,1
apache/james-jdkim,3
apache/incubator-datasketches-hive,34
apache/sling-org-apache-sling-tracer,1
apache/streams,384
apache/sling-org-apache-sling-caconfig-api,1
apache/struts-sandbox,1
apache/directory-fortress-enmasse,3
apache/fineract-cn-group,11
apache/aries-rsa,13
apache/qpid-proton-j,5
apache/freemarker-generator,1
apache/geronimo-openapi,9
apache/sling-org-apache-sling-jcr-jackrabbit-usermanager,2
apache/sling-org-apache-sling-committer-cli,5
apache/fineract-cn-accounting,14
apache/sling-org-apache-sling-scripting-sightly-compiler,1
apache/metron,8
apache/eagle,22
apache/tomcat,17
apache/aurora,27
apache/sling-slingstart-maven-plugin,5
apache/griffin,4
apache/freemarker-online-tester,9
apache/karaf,624
apache/sling-org-apache-sling-testing-osgi-mock,5
apache/incubator-shardingsphere-example,93
apache/jspwiki,2
apache/fineract-cn-rhythm,11
apache/kylin,571
apache/sling-org-apache-sling-engine,4
,65006
